star_id,stratum,family,mode,survey,band,period_days,observation_count,phase_coverage_bins,relative_path,source_sha256,source_authority,source_locator,license_or_reuse_basis,mode_policy
SYN-DSCT-SINGLE-00,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-00.dat,457054b94981b0db35abf3b98d86fae992ccf29e705b99219df8604b37dc4e46,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-01,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-01.dat,0bd2348ae3b53a4a85f504d703b433c2477185fd925bd279877940c604b58696,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-02,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-02.dat,507d144fa1393466fb0ce6b742de6b815f02f5f6fefc64371ac2dda9dad1bac7,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-03,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-03.dat,377226c49c666cff21b4ff15858131efa97d212817ff5d92e5339607a8a02dce,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-04,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-04.dat,2ead71af4cffeb212b74147b17fac79eba4c0790e9b29b0246ca222863d1ce82,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-05,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-05.dat,6e28ccbf491ca1ee1c9b7a12f659c1f2ed8907ea228ef4c01cd4b2b6ff0272a0,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-06,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-06.dat,3834113d202b52d33a68c7f6e9820f008915c5f55ac4a7bf01ede5bf268e3a04,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-07,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-07.dat,457054b94981b0db35abf3b98d86fae992ccf29e705b99219df8604b37dc4e46,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-08,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-08.dat,0bd2348ae3b53a4a85f504d703b433c2477185fd925bd279877940c604b58696,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-09,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-09.dat,507d144fa1393466fb0ce6b742de6b815f02f5f6fefc64371ac2dda9dad1bac7,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-10,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-10.dat,377226c49c666cff21b4ff15858131efa97d212817ff5d92e5339607a8a02dce,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-11,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-11.dat,2ead71af4cffeb212b74147b17fac79eba4c0790e9b29b0246ca222863d1ce82,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-12,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-12.dat,6e28ccbf491ca1ee1c9b7a12f659c1f2ed8907ea228ef4c01cd4b2b6ff0272a0,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-13,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-13.dat,3834113d202b52d33a68c7f6e9820f008915c5f55ac4a7bf01ede5bf268e3a04,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-SINGLE-14,DSCT-SINGLE,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-SINGLE-14.dat,457054b94981b0db35abf3b98d86fae992ccf29e705b99219df8604b37dc4e46,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
SYN-DSCT-HADS-00,DSCT-HADS,Delta Scuti,synthetic-governance-only,synthetic governance fixture,none,1.0,60,12,SYN-DSCT-HADS-00.dat,457054b94981b0db35abf3b98d86fae992ccf29e705b99219df8604b37dc4e46,DERD test fixture generator,local:artifacts/phase04_readiness/synthetic_demo,generated locally for software governance tests,not astrophysical; governance fixture only
