object_id,family,harmonic,role,wald_snr,threshold,passes
OGLE-LMC-CEP-0002,classical_cepheid,1,recovery,80.4638806804045,3.0,True
OGLE-LMC-CEP-0002,classical_cepheid,2,recovery,23.976224417196114,3.0,True
OGLE-LMC-CEP-0002,classical_cepheid,3,recovery,8.596078252606938,3.0,True
OGLE-LMC-CEP-0002,classical_cepheid,4,recovery,2.014366453940071,3.0,False
OGLE-LMC-CEP-0002,classical_cepheid,5,forecast,1.2939390792609036,2.0,False
OGLE-LMC-CEP-0002,classical_cepheid,6,forecast,1.2675523125122945,2.0,False
OGLE-LMC-CEP-0002,classical_cepheid,7,forecast,0.5146807257013791,2.0,False
OGLE-LMC-CEP-0002,classical_cepheid,8,forecast,2.3746350926390756,2.0,True
OGLE-LMC-CEP-0010,classical_cepheid,1,recovery,133.34775004104384,3.0,True
OGLE-LMC-CEP-0010,classical_cepheid,2,recovery,10.81437036714682,3.0,True
OGLE-LMC-CEP-0010,classical_cepheid,3,recovery,2.822444781503572,3.0,False
OGLE-LMC-CEP-0010,classical_cepheid,4,recovery,2.168634360812746,3.0,False
OGLE-LMC-CEP-0010,classical_cepheid,5,forecast,1.204059560189355,2.0,False
OGLE-LMC-CEP-0010,classical_cepheid,6,forecast,0.9410734177625241,2.0,False
OGLE-LMC-CEP-0010,classical_cepheid,7,forecast,1.314776528553524,2.0,False
OGLE-LMC-CEP-0010,classical_cepheid,8,forecast,0.6861903171234279,2.0,False
OGLE-LMC-RRLYR-00001,rr_lyrae,1,recovery,22.289248981531745,3.0,True
OGLE-LMC-RRLYR-00001,rr_lyrae,2,recovery,11.493158025132322,3.0,True
OGLE-LMC-RRLYR-00001,rr_lyrae,3,recovery,6.2962113343415504,3.0,True
OGLE-LMC-RRLYR-00001,rr_lyrae,4,recovery,4.497271530990679,3.0,True
OGLE-LMC-RRLYR-00001,rr_lyrae,5,forecast,1.9174919460133684,2.0,False
OGLE-LMC-RRLYR-00001,rr_lyrae,6,forecast,1.2507856558848889,2.0,False
OGLE-LMC-RRLYR-00001,rr_lyrae,7,forecast,0.1408754298800289,2.0,False
OGLE-LMC-RRLYR-00001,rr_lyrae,8,forecast,0.5360709436418737,2.0,False
OGLE-LMC-RRLYR-00004,rr_lyrae,1,recovery,26.76060716413396,3.0,True
OGLE-LMC-RRLYR-00004,rr_lyrae,2,recovery,9.871881704138035,3.0,True
OGLE-LMC-RRLYR-00004,rr_lyrae,3,recovery,4.4835466688091605,3.0,True
OGLE-LMC-RRLYR-00004,rr_lyrae,4,recovery,2.606454327166021,3.0,False
OGLE-LMC-RRLYR-00004,rr_lyrae,5,forecast,1.5468936385230734,2.0,False
OGLE-LMC-RRLYR-00004,rr_lyrae,6,forecast,2.19715788865217,2.0,True
OGLE-LMC-RRLYR-00004,rr_lyrae,7,forecast,1.7142923179264404,2.0,False
OGLE-LMC-RRLYR-00004,rr_lyrae,8,forecast,1.6123003671621017,2.0,False
OGLE-LMC-DSCT-0001,delta_scuti,1,recovery,6.454128254629274,3.0,True
OGLE-LMC-DSCT-0001,delta_scuti,2,recovery,1.1647830482047268,3.0,False
OGLE-LMC-DSCT-0001,delta_scuti,3,recovery,0.9206629803839473,3.0,False
OGLE-LMC-DSCT-0001,delta_scuti,4,recovery,1.0343651471678965,3.0,False
OGLE-LMC-DSCT-0001,delta_scuti,5,forecast,0.23297415868159613,2.0,False
OGLE-LMC-DSCT-0001,delta_scuti,6,forecast,0.3811571413763079,2.0,False
OGLE-LMC-DSCT-0001,delta_scuti,7,forecast,0.3479710303169611,2.0,False
OGLE-LMC-DSCT-0001,delta_scuti,8,forecast,0.3124749691316546,2.0,False
OGLE-LMC-DSCT-0003,delta_scuti,1,recovery,2.727214852621015,3.0,False
OGLE-LMC-DSCT-0003,delta_scuti,2,recovery,1.4277045564964417,3.0,False
OGLE-LMC-DSCT-0003,delta_scuti,3,recovery,0.9683121581027011,3.0,False
OGLE-LMC-DSCT-0003,delta_scuti,4,recovery,0.9044173405069864,3.0,False
OGLE-LMC-DSCT-0003,delta_scuti,5,forecast,1.1100455553466047,2.0,False
OGLE-LMC-DSCT-0003,delta_scuti,6,forecast,0.7237135989603214,2.0,False
OGLE-LMC-DSCT-0003,delta_scuti,7,forecast,0.45426687168606955,2.0,False
OGLE-LMC-DSCT-0003,delta_scuti,8,forecast,0.9338385382466956,2.0,False
