object_id,family,mode,period_days,period_evidence_grade,mode_evidence_grade,metadata_identity_status,expected_observations,actual_observations,metadata_ready,source_ready,cached_result_ready,executable_now,source_sha256_frozen,acquisition_receipt_verified,blocker_count,blockers
OGLE-LMC-CEP-0002,classical_cepheid,F,3.118149,EXTERNAL_CATALOG_MIRROR,EXTERNAL_CATALOG_MIRROR,RESOLVED_EXACT,366,,True,False,True,False,True,False,1,SOURCE_BYTES_MISSING
OGLE-LMC-CEP-0004,classical_cepheid,1O,2.2296385,EXTERNAL_CATALOG_MIRROR,EXTERNAL_CATALOG_MIRROR,RESOLVED_EXACT,367,,True,False,False,False,False,False,2,SOURCE_BYTES_MISSING;SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-CEP-0005,classical_cepheid,F,5.6119491,EXTERNAL_CATALOG_MIRROR,EXTERNAL_CATALOG_MIRROR,RESOLVED_EXACT,367,,True,False,False,False,False,False,2,SOURCE_BYTES_MISSING;SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-CEP-0006,classical_cepheid,1O,3.2947501,EXTERNAL_CATALOG_MIRROR,EXTERNAL_CATALOG_MIRROR,RESOLVED_EXACT,691,,True,False,False,False,False,False,2,SOURCE_BYTES_MISSING;SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-CEP-0010,classical_cepheid,1O,2.5655853,EXTERNAL_CATALOG_MIRROR,EXTERNAL_CATALOG_MIRROR,RESOLVED_EXACT,372,,True,False,True,False,True,False,1,SOURCE_BYTES_MISSING
OGLE-LMC-RRLYR-00001,rr_lyrae,RRab,0.6347522,EXTERNAL_CATALOG_CROSSCHECK,EXTERNAL_CATALOG_CROSSCHECK,RESOLVED_EXACT,332,,True,False,True,False,True,False,1,SOURCE_BYTES_MISSING
OGLE-LMC-RRLYR-00003,rr_lyrae,RRab,0.6564971,EXTERNAL_CATALOG_CROSSCHECK,EXTERNAL_CATALOG_CROSSCHECK,RESOLVED_EXACT,360,,True,False,False,False,False,False,2,SOURCE_BYTES_MISSING;SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-RRLYR-00004,rr_lyrae,RRab,0.5123745,EXTERNAL_CATALOG_CROSSCHECK,EXTERNAL_CATALOG_CROSSCHECK,RESOLVED_EXACT,360,,True,False,True,False,True,False,1,SOURCE_BYTES_MISSING
OGLE-LMC-RRLYR-00005,rr_lyrae,RRab,0.6433519,EXTERNAL_CATALOG_CROSSCHECK,EXTERNAL_CATALOG_CROSSCHECK,RESOLVED_EXACT,359,,True,False,False,False,False,False,2,SOURCE_BYTES_MISSING;SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-RRLYR-00006,rr_lyrae,RRab,0.6000192,EXTERNAL_CATALOG_CROSSCHECK,EXTERNAL_CATALOG_CROSSCHECK,RESOLVED_EXACT,359,,True,False,False,False,False,False,2,SOURCE_BYTES_MISSING;SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-DSCT-0003,delta_scuti,unresolved,0.192110098414,LEGACY_FEATURE_TABLE_DIAGNOSTIC,UNRESOLVED,UNRESOLVED_OGLE_III_TO_OGLE_IV_CROSSWALK,435,,False,False,True,False,True,False,4,PERIOD_NOT_CLAIM_GRADE;MODE_NOT_CLAIM_GRADE;CATALOG_IDENTITY_NOT_RESOLVED;SOURCE_BYTES_MISSING
OGLE-LMC-DSCT-0004,delta_scuti,unresolved,360.213894783,LEGACY_FEATURE_TABLE_DIAGNOSTIC,UNRESOLVED,UNRESOLVED_OGLE_III_TO_OGLE_IV_CROSSWALK,442,,False,False,False,False,False,False,5,PERIOD_NOT_CLAIM_GRADE;MODE_NOT_CLAIM_GRADE;CATALOG_IDENTITY_NOT_RESOLVED;SOURCE_BYTES_MISSING;SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-DSCT-0005,delta_scuti,unresolved,0.152355140403,LEGACY_FEATURE_TABLE_DIAGNOSTIC,UNRESOLVED,UNRESOLVED_OGLE_III_TO_OGLE_IV_CROSSWALK,445,,False,False,False,False,False,False,5,PERIOD_NOT_CLAIM_GRADE;MODE_NOT_CLAIM_GRADE;CATALOG_IDENTITY_NOT_RESOLVED;SOURCE_BYTES_MISSING;SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-DSCT-0006,delta_scuti,unresolved,0.139272775228,LEGACY_FEATURE_TABLE_DIAGNOSTIC,UNRESOLVED,UNRESOLVED_OGLE_III_TO_OGLE_IV_CROSSWALK,442,,False,False,False,False,False,False,5,PERIOD_NOT_CLAIM_GRADE;MODE_NOT_CLAIM_GRADE;CATALOG_IDENTITY_NOT_RESOLVED;SOURCE_BYTES_MISSING;SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-DSCT-0007,delta_scuti,unresolved,0.36834967544,LEGACY_FEATURE_TABLE_DIAGNOSTIC,UNRESOLVED,UNRESOLVED_OGLE_III_TO_OGLE_IV_CROSSWALK,406,,False,False,False,False,False,False,5,PERIOD_NOT_CLAIM_GRADE;MODE_NOT_CLAIM_GRADE;CATALOG_IDENTITY_NOT_RESOLVED;SOURCE_BYTES_MISSING;SOURCE_SHA256_PENDING_ACQUISITION
