object_id,family,metadata_lock_required,metadata_ready,source_ready,cached_result_ready,execution_ready,effective_object_id,effective_mode,effective_period_days,effective_period_error_days,blocker_count,blockers
OGLE-LMC-CEP-0002,classical_cepheid,False,True,False,True,False,OGLE-LMC-CEP-0002,F,3.118149,,1,SOURCE_BYTES_MISSING
OGLE-LMC-CEP-0004,classical_cepheid,False,True,False,False,False,OGLE-LMC-CEP-0004,1O,2.2296385,,2,SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-CEP-0005,classical_cepheid,False,True,False,False,False,OGLE-LMC-CEP-0005,F,5.6119491,,2,SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-CEP-0006,classical_cepheid,False,True,False,False,False,OGLE-LMC-CEP-0006,1O,3.2947501,,2,SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-CEP-0010,classical_cepheid,False,True,False,True,False,OGLE-LMC-CEP-0010,1O,2.5655853,,1,SOURCE_BYTES_MISSING
OGLE-LMC-RRLYR-00001,rr_lyrae,False,True,False,True,False,OGLE-LMC-RRLYR-00001,RRab,0.6347522,,1,SOURCE_BYTES_MISSING
OGLE-LMC-RRLYR-00003,rr_lyrae,False,True,False,False,False,OGLE-LMC-RRLYR-00003,RRab,0.6564971,,2,SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-RRLYR-00004,rr_lyrae,False,True,False,True,False,OGLE-LMC-RRLYR-00004,RRab,0.5123745,,1,SOURCE_BYTES_MISSING
OGLE-LMC-RRLYR-00005,rr_lyrae,False,True,False,False,False,OGLE-LMC-RRLYR-00005,RRab,0.6433519,,2,SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-RRLYR-00006,rr_lyrae,False,True,False,False,False,OGLE-LMC-RRLYR-00006,RRab,0.6000192,,2,SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-DSCT-0003,delta_scuti,True,False,False,True,False,OGLE-LMC-DSCT-0003,unresolved,0.192110098414,,8,PERIOD_NOT_CLAIM_GRADE|MODE_NOT_CLAIM_GRADE|CATALOG_IDENTITY_NOT_RESOLVED|SOURCE_BYTES_MISSING|AUTHORITATIVE_METADATA_LOCK_MISSING|DELTA_SCUTI_PERIOD_NOT_LOCKED|DELTA_SCUTI_SUBTYPE_NOT_LOCKED|DELTA_SCUTI_IDENTITY_CROSSWALK_NOT_LOCKED
OGLE-LMC-DSCT-0004,delta_scuti,True,False,False,False,False,OGLE-LMC-DSCT-0004,unresolved,360.213894783,,9,PERIOD_NOT_CLAIM_GRADE|MODE_NOT_CLAIM_GRADE|CATALOG_IDENTITY_NOT_RESOLVED|SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION|AUTHORITATIVE_METADATA_LOCK_MISSING|DELTA_SCUTI_PERIOD_NOT_LOCKED|DELTA_SCUTI_SUBTYPE_NOT_LOCKED|DELTA_SCUTI_IDENTITY_CROSSWALK_NOT_LOCKED
OGLE-LMC-DSCT-0005,delta_scuti,True,False,False,False,False,OGLE-LMC-DSCT-0005,unresolved,0.152355140403,,9,PERIOD_NOT_CLAIM_GRADE|MODE_NOT_CLAIM_GRADE|CATALOG_IDENTITY_NOT_RESOLVED|SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION|AUTHORITATIVE_METADATA_LOCK_MISSING|DELTA_SCUTI_PERIOD_NOT_LOCKED|DELTA_SCUTI_SUBTYPE_NOT_LOCKED|DELTA_SCUTI_IDENTITY_CROSSWALK_NOT_LOCKED
OGLE-LMC-DSCT-0006,delta_scuti,True,False,False,False,False,OGLE-LMC-DSCT-0006,unresolved,0.139272775228,,9,PERIOD_NOT_CLAIM_GRADE|MODE_NOT_CLAIM_GRADE|CATALOG_IDENTITY_NOT_RESOLVED|SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION|AUTHORITATIVE_METADATA_LOCK_MISSING|DELTA_SCUTI_PERIOD_NOT_LOCKED|DELTA_SCUTI_SUBTYPE_NOT_LOCKED|DELTA_SCUTI_IDENTITY_CROSSWALK_NOT_LOCKED
OGLE-LMC-DSCT-0007,delta_scuti,True,False,False,False,False,OGLE-LMC-DSCT-0007,unresolved,0.36834967544,,9,PERIOD_NOT_CLAIM_GRADE|MODE_NOT_CLAIM_GRADE|CATALOG_IDENTITY_NOT_RESOLVED|SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION|AUTHORITATIVE_METADATA_LOCK_MISSING|DELTA_SCUTI_PERIOD_NOT_LOCKED|DELTA_SCUTI_SUBTYPE_NOT_LOCKED|DELTA_SCUTI_IDENTITY_CROSSWALK_NOT_LOCKED
