object_id,effective_object_id,family,metadata_ready,source_ready,execution_ready,cumulative_record,new_phase13_record,frontier,blockers
OGLE-LMC-CEP-0002,OGLE-LMC-CEP-0002,classical_cepheid,True,False,False,False,False,SOURCE_LOCK_REQUIRED,SOURCE_BYTES_MISSING
OGLE-LMC-CEP-0004,OGLE-LMC-CEP-0004,classical_cepheid,True,False,False,True,False,VERIFIED_PRIOR_CUMULATIVE_RECORD,SOURCE_BYTES_MISSING
OGLE-LMC-CEP-0005,OGLE-LMC-CEP-0005,classical_cepheid,True,False,False,False,False,SOURCE_LOCK_REQUIRED,SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-CEP-0006,OGLE-LMC-CEP-0006,classical_cepheid,True,False,False,False,False,SOURCE_LOCK_REQUIRED,SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-CEP-0010,OGLE-LMC-CEP-0010,classical_cepheid,True,False,False,False,False,SOURCE_LOCK_REQUIRED,SOURCE_BYTES_MISSING
OGLE-LMC-RRLYR-00001,OGLE-LMC-RRLYR-00001,rr_lyrae,True,False,False,True,False,VERIFIED_PRIOR_CUMULATIVE_RECORD,SOURCE_BYTES_MISSING
OGLE-LMC-RRLYR-00003,OGLE-LMC-RRLYR-00003,rr_lyrae,True,False,False,False,False,SOURCE_LOCK_REQUIRED,SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-RRLYR-00004,OGLE-LMC-RRLYR-00004,rr_lyrae,True,True,True,True,True,NEW_PHASE13_CUMULATIVE_RECORD,
OGLE-LMC-RRLYR-00005,OGLE-LMC-RRLYR-00005,rr_lyrae,True,False,False,False,False,SOURCE_LOCK_REQUIRED,SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-RRLYR-00006,OGLE-LMC-RRLYR-00006,rr_lyrae,True,False,False,False,False,SOURCE_LOCK_REQUIRED,SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION
OGLE-LMC-DSCT-0003,OGLE-LMC-DSCT-0003,delta_scuti,False,False,False,False,False,METADATA_AND_SOURCE_LOCKS_REQUIRED,PERIOD_NOT_CLAIM_GRADE|MODE_NOT_CLAIM_GRADE|CATALOG_IDENTITY_NOT_RESOLVED|SOURCE_BYTES_MISSING|AUTHORITATIVE_METADATA_LOCK_MISSING|DELTA_SCUTI_PERIOD_NOT_LOCKED|DELTA_SCUTI_SUBTYPE_NOT_LOCKED|DELTA_SCUTI_IDENTITY_CROSSWALK_NOT_LOCKED
OGLE-LMC-DSCT-0004,OGLE-LMC-DSCT-0004,delta_scuti,False,False,False,False,False,METADATA_AND_SOURCE_LOCKS_REQUIRED,PERIOD_NOT_CLAIM_GRADE|MODE_NOT_CLAIM_GRADE|CATALOG_IDENTITY_NOT_RESOLVED|SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION|AUTHORITATIVE_METADATA_LOCK_MISSING|DELTA_SCUTI_PERIOD_NOT_LOCKED|DELTA_SCUTI_SUBTYPE_NOT_LOCKED|DELTA_SCUTI_IDENTITY_CROSSWALK_NOT_LOCKED
OGLE-LMC-DSCT-0005,OGLE-LMC-DSCT-0005,delta_scuti,False,False,False,False,False,METADATA_AND_SOURCE_LOCKS_REQUIRED,PERIOD_NOT_CLAIM_GRADE|MODE_NOT_CLAIM_GRADE|CATALOG_IDENTITY_NOT_RESOLVED|SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION|AUTHORITATIVE_METADATA_LOCK_MISSING|DELTA_SCUTI_PERIOD_NOT_LOCKED|DELTA_SCUTI_SUBTYPE_NOT_LOCKED|DELTA_SCUTI_IDENTITY_CROSSWALK_NOT_LOCKED
OGLE-LMC-DSCT-0006,OGLE-LMC-DSCT-0006,delta_scuti,False,False,False,False,False,METADATA_AND_SOURCE_LOCKS_REQUIRED,PERIOD_NOT_CLAIM_GRADE|MODE_NOT_CLAIM_GRADE|CATALOG_IDENTITY_NOT_RESOLVED|SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION|AUTHORITATIVE_METADATA_LOCK_MISSING|DELTA_SCUTI_PERIOD_NOT_LOCKED|DELTA_SCUTI_SUBTYPE_NOT_LOCKED|DELTA_SCUTI_IDENTITY_CROSSWALK_NOT_LOCKED
OGLE-LMC-DSCT-0007,OGLE-LMC-DSCT-0007,delta_scuti,False,False,False,False,False,METADATA_AND_SOURCE_LOCKS_REQUIRED,PERIOD_NOT_CLAIM_GRADE|MODE_NOT_CLAIM_GRADE|CATALOG_IDENTITY_NOT_RESOLVED|SOURCE_BYTES_MISSING|SOURCE_SHA256_PENDING_ACQUISITION|AUTHORITATIVE_METADATA_LOCK_MISSING|DELTA_SCUTI_PERIOD_NOT_LOCKED|DELTA_SCUTI_SUBTYPE_NOT_LOCKED|DELTA_SCUTI_IDENTITY_CROSSWALK_NOT_LOCKED
