family,fit_pass_fraction,forecast_pass_fraction,holdout_count,joint_fit_and_screen_pass_fraction,median_forecast_residual,median_harmonic_screen_score,median_heldout_rmse,screen_pass_fraction
derd_geometric,1.0,1.0,11,0.7272727272727273,0.28547320215941785,1.2438964965538826,0.01735462428048306,0.7272727272727273
generic_fourier,0.0,0.0,8,0.0,1.1028642618923392,2.9845689669436,0.1741940280889528,0.0
two_pole_transfer,0.14285714285714285,0.5714285714285714,7,0.0,0.654852210448616,2.122684802161905,0.06407712472208392,0.14285714285714285
radius_temperature_projection,0.875,1.0,8,0.375,0.15847333439252426,1.7476119438438298,0.01382297323349304,0.375
vdp_hydrodynamic_surrogate,0.45454545454545453,0.6363636363636364,11,0.2727272727272727,0.5141050912799078,1.76552323449942,0.04024097990568369,0.45454545454545453
two_zone_surrogate,0.16666666666666666,0.16666666666666666,6,0.16666666666666666,0.9148677824272147,1.9667595611893818,0.15754569896818046,0.16666666666666666
shock_modified,0.3,0.3,10,0.2,0.9169031440940167,1.9803519653652772,0.11414007864077261,0.4
tidal_kepler_response,0.4444444444444444,0.5555555555555556,9,0.0,0.6488904730099109,2.218058099407166,0.040809572150576005,0.1111111111111111
spot_rotation,0.75,1.0,4,0.5,0.19178960951174262,1.1572912039099412,0.01667085134615027,0.75
cse_reprocessing,0.9166666666666666,1.0,12,0.5,0.1578905891360702,1.6983875510736497,0.016706772315919147,0.5
