object_id,family,metadata_ready,metadata_status,effective_object_id,effective_mode,effective_period_days,effective_period_error_days,source_ready,source_checks,inherited_evidence,blockers
OGLE-LMC-CEP-0002,classical_cepheid,True,CARRIED_FORWARD_CLAIM_GRADE_METADATA,OGLE-LMC-CEP-0002,F,3.118149,,False,"{'source_file_present': False, 'source_byte_count': False, 'source_observation_count': False, 'source_git_blob_sha1': False, 'source_receipt_verified': True, 'source_sha256_frozen': True, 'source_sha256_matches': False}",True,"['SOURCE_FILE_PRESENT_FAILED', 'SOURCE_BYTE_COUNT_FAILED', 'SOURCE_OBSERVATION_COUNT_FAILED', 'SOURCE_GIT_BLOB_SHA1_FAILED', 'SOURCE_SHA256_MATCHES_FAILED']"
OGLE-LMC-CEP-0004,classical_cepheid,True,CARRIED_FORWARD_CLAIM_GRADE_METADATA,OGLE-LMC-CEP-0004,1O,2.2296385,,False,"{'source_file_present': False, 'source_byte_count': False, 'source_observation_count': False, 'source_git_blob_sha1': False, 'source_receipt_verified': False, 'source_sha256_frozen': False, 'source_sha256_matches': False}",True,"['SOURCE_FILE_PRESENT_FAILED', 'SOURCE_BYTE_COUNT_FAILED', 'SOURCE_OBSERVATION_COUNT_FAILED', 'SOURCE_GIT_BLOB_SHA1_FAILED', 'SOURCE_RECEIPT_VERIFIED_FAILED', 'SOURCE_SHA256_FROZEN_FAILED', 'SOURCE_SHA256_MATCHES_FAILED']"
OGLE-LMC-CEP-0005,classical_cepheid,True,CARRIED_FORWARD_CLAIM_GRADE_METADATA,OGLE-LMC-CEP-0005,F,5.6119491,,False,"{'source_file_present': False, 'source_byte_count': False, 'source_observation_count': False, 'source_git_blob_sha1': False, 'source_receipt_verified': False, 'source_sha256_frozen': False, 'source_sha256_matches': False}",False,"['SOURCE_FILE_PRESENT_FAILED', 'SOURCE_BYTE_COUNT_FAILED', 'SOURCE_OBSERVATION_COUNT_FAILED', 'SOURCE_GIT_BLOB_SHA1_FAILED', 'SOURCE_RECEIPT_VERIFIED_FAILED', 'SOURCE_SHA256_FROZEN_FAILED', 'SOURCE_SHA256_MATCHES_FAILED']"
OGLE-LMC-CEP-0006,classical_cepheid,True,CARRIED_FORWARD_CLAIM_GRADE_METADATA,OGLE-LMC-CEP-0006,1O,3.2947501,,False,"{'source_file_present': False, 'source_byte_count': False, 'source_observation_count': False, 'source_git_blob_sha1': False, 'source_receipt_verified': False, 'source_sha256_frozen': False, 'source_sha256_matches': False}",False,"['SOURCE_FILE_PRESENT_FAILED', 'SOURCE_BYTE_COUNT_FAILED', 'SOURCE_OBSERVATION_COUNT_FAILED', 'SOURCE_GIT_BLOB_SHA1_FAILED', 'SOURCE_RECEIPT_VERIFIED_FAILED', 'SOURCE_SHA256_FROZEN_FAILED', 'SOURCE_SHA256_MATCHES_FAILED']"
OGLE-LMC-CEP-0010,classical_cepheid,True,CARRIED_FORWARD_CLAIM_GRADE_METADATA,OGLE-LMC-CEP-0010,1O,2.5655853,,False,"{'source_file_present': False, 'source_byte_count': False, 'source_observation_count': False, 'source_git_blob_sha1': False, 'source_receipt_verified': True, 'source_sha256_frozen': True, 'source_sha256_matches': False}",True,"['SOURCE_FILE_PRESENT_FAILED', 'SOURCE_BYTE_COUNT_FAILED', 'SOURCE_OBSERVATION_COUNT_FAILED', 'SOURCE_GIT_BLOB_SHA1_FAILED', 'SOURCE_SHA256_MATCHES_FAILED']"
OGLE-LMC-RRLYR-00001,rr_lyrae,True,CARRIED_FORWARD_CLAIM_GRADE_METADATA,OGLE-LMC-RRLYR-00001,RRab,0.6347522,,False,"{'source_file_present': False, 'source_byte_count': False, 'source_observation_count': False, 'source_git_blob_sha1': False, 'source_receipt_verified': True, 'source_sha256_frozen': True, 'source_sha256_matches': False}",True,"['SOURCE_FILE_PRESENT_FAILED', 'SOURCE_BYTE_COUNT_FAILED', 'SOURCE_OBSERVATION_COUNT_FAILED', 'SOURCE_GIT_BLOB_SHA1_FAILED', 'SOURCE_SHA256_MATCHES_FAILED']"
OGLE-LMC-RRLYR-00003,rr_lyrae,True,CARRIED_FORWARD_CLAIM_GRADE_METADATA,OGLE-LMC-RRLYR-00003,RRab,0.6564971,,False,"{'source_file_present': False, 'source_byte_count': False, 'source_observation_count': False, 'source_git_blob_sha1': False, 'source_receipt_verified': False, 'source_sha256_frozen': False, 'source_sha256_matches': False}",False,"['SOURCE_FILE_PRESENT_FAILED', 'SOURCE_BYTE_COUNT_FAILED', 'SOURCE_OBSERVATION_COUNT_FAILED', 'SOURCE_GIT_BLOB_SHA1_FAILED', 'SOURCE_RECEIPT_VERIFIED_FAILED', 'SOURCE_SHA256_FROZEN_FAILED', 'SOURCE_SHA256_MATCHES_FAILED']"
OGLE-LMC-RRLYR-00004,rr_lyrae,True,CARRIED_FORWARD_CLAIM_GRADE_METADATA,OGLE-LMC-RRLYR-00004,RRab,0.5123745,,False,"{'source_file_present': False, 'source_byte_count': False, 'source_observation_count': False, 'source_git_blob_sha1': False, 'source_receipt_verified': True, 'source_sha256_frozen': True, 'source_sha256_matches': False}",True,"['SOURCE_FILE_PRESENT_FAILED', 'SOURCE_BYTE_COUNT_FAILED', 'SOURCE_OBSERVATION_COUNT_FAILED', 'SOURCE_GIT_BLOB_SHA1_FAILED', 'SOURCE_SHA256_MATCHES_FAILED']"
OGLE-LMC-RRLYR-00005,rr_lyrae,True,CARRIED_FORWARD_CLAIM_GRADE_METADATA,OGLE-LMC-RRLYR-00005,RRab,0.6433519,,False,"{'source_file_present': False, 'source_byte_count': False, 'source_observation_count': False, 'source_git_blob_sha1': False, 'source_receipt_verified': False, 'source_sha256_frozen': False, 'source_sha256_matches': False}",False,"['SOURCE_FILE_PRESENT_FAILED', 'SOURCE_BYTE_COUNT_FAILED', 'SOURCE_OBSERVATION_COUNT_FAILED', 'SOURCE_GIT_BLOB_SHA1_FAILED', 'SOURCE_RECEIPT_VERIFIED_FAILED', 'SOURCE_SHA256_FROZEN_FAILED', 'SOURCE_SHA256_MATCHES_FAILED']"
OGLE-LMC-RRLYR-00006,rr_lyrae,True,CARRIED_FORWARD_CLAIM_GRADE_METADATA,OGLE-LMC-RRLYR-00006,RRab,0.6000192,,False,"{'source_file_present': False, 'source_byte_count': False, 'source_observation_count': False, 'source_git_blob_sha1': False, 'source_receipt_verified': False, 'source_sha256_frozen': False, 'source_sha256_matches': False}",False,"['SOURCE_FILE_PRESENT_FAILED', 'SOURCE_BYTE_COUNT_FAILED', 'SOURCE_OBSERVATION_COUNT_FAILED', 'SOURCE_GIT_BLOB_SHA1_FAILED', 'SOURCE_RECEIPT_VERIFIED_FAILED', 'SOURCE_SHA256_FROZEN_FAILED', 'SOURCE_SHA256_MATCHES_FAILED']"
OGLE-LMC-DSCT-0003,delta_scuti,True,LOCKED_EXACT_TWO_HOP_CROSSWALK,OGLE-LMC-DSCT-00003,singlemode_radial_order_unresolved,0.06644253,1.2e-07,False,"{'source_file_present': False, 'source_byte_count': False, 'source_observation_count': False, 'source_git_blob_sha1': False, 'source_receipt_verified': True, 'source_sha256_frozen': True, 'source_sha256_matches': False}",False,"['SOURCE_FILE_PRESENT_FAILED', 'SOURCE_BYTE_COUNT_FAILED', 'SOURCE_OBSERVATION_COUNT_FAILED', 'SOURCE_GIT_BLOB_SHA1_FAILED', 'SOURCE_SHA256_MATCHES_FAILED']"
