star_id,mode,period_days,relative_path,source_blob_sha,source_repository,source_commit,period_source_repository,period_source_commit
OGLE-LMC-CEP-0001,1O,0.3068181,raw/ogle/OGLE-LMC-CEP-0001.dat,b3e221c5fe12622334a2473f34022e632251a485,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0002,F,3.1181490,raw/ogle/OGLE-LMC-CEP-0002.dat,1602e53ada1ee586b6a9c7c0b7b09f4c967c144d,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0003,1O,0.3500957,raw/ogle/OGLE-LMC-CEP-0003.dat,8220c1e6fd379bee4c8bee00d3775514a7906913,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0004,1O,2.2296385,raw/ogle/OGLE-LMC-CEP-0004.dat,12ba4fb6df56ade0f191307c1d7c0ebaa0f563dd,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0005,F,5.6119491,raw/ogle/OGLE-LMC-CEP-0005.dat,889b8f84a98b545956f99adf234ac079f2ee4c8a,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0006,1O,3.2947501,raw/ogle/OGLE-LMC-CEP-0006.dat,74a2794a59a5cc2c9fd462e7347342bafc1b0a96,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0007,1O,0.7090827,raw/ogle/OGLE-LMC-CEP-0007.dat,be5ae122aa45d75b40b9d2aa8587ee1d738a085a,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0009,1O,2.0243667,raw/ogle/OGLE-LMC-CEP-0009.dat,8aaf8fb25c389125437d30d06c8e90ff0e8ef902,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0010,1O,2.5655853,raw/ogle/OGLE-LMC-CEP-0010.dat,fd82c05bb3a62ba9a8c614ac51eb315124090381,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0012,F,2.6601839,raw/ogle/OGLE-LMC-CEP-0012.dat,cf6705ce98c6cb32756b47a8500458957e0f1be2,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0013,1O,1.5985688,raw/ogle/OGLE-LMC-CEP-0013.dat,ee1f29bf8eecd833bf9f8713d1add86a402f5c49,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0014,1O,3.1356338,raw/ogle/OGLE-LMC-CEP-0014.dat,424ab882f0c103e45efad05bc53f2aba6d97cedf,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0015,1O,1.6556995,raw/ogle/OGLE-LMC-CEP-0015.dat,bf226a46a92b655523d84821c422ca8e8434b5a0,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0017,F,3.6772904,raw/ogle/OGLE-LMC-CEP-0017.dat,6261c76f4466499cbd4bad2b7952577b9a915e2a,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0018,F,4.0478369,raw/ogle/OGLE-LMC-CEP-0018.dat,caefd408e669ad13ab8a2995ef835b9396361aa8,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0021,F,5.4579579,raw/ogle/OGLE-LMC-CEP-0021.dat,90d6040ae33c811fb15773c4b4a46c78d8df6e79,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0023,F,1.7018187,raw/ogle/OGLE-LMC-CEP-0023.dat,241402d6c63af354ef4be10be93df3dda37cec49,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0025,F,3.7334902,raw/ogle/OGLE-LMC-CEP-0025.dat,56afc7f1293a37599a0ee750dfe23f6095c2aa76,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0026,F,2.5706724,raw/ogle/OGLE-LMC-CEP-0026.dat,204466f467c8668c0297756ac0b417ba39520f8f,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
OGLE-LMC-CEP-0027,F,3.5229124,raw/ogle/OGLE-LMC-CEP-0027.dat,b5a6261b12d03dcd3dc2861b711bfeaba9b2766e,bksim/OutlierDetection,55836b58345b9507bfbd98c5fabbac82c83605e3,dubbatee/ScienceExtensionCode,2d5f05d5c20d8c4c1c1e8811d502398232f14316
