star_id,stratum,family,mode,survey,band,period_days,observation_count,phase_coverage_bins,relative_path,source_sha256,source_authority,source_locator,license_or_reuse_basis,mode_policy
OGLE-LMC-CEP-0001,CEP-1O,Classical Cepheid,1O,OGLE mirror engineering excerpt,I,0.3068181,24,8,raw/ogle/OGLE-LMC-CEP-0001.dat,a55f64c66fa94c6a2f29539e8085792ad984bdb9bee16e4078b529445529432f,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0001.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0002,CEP-F,Classical Cepheid,F,OGLE mirror engineering excerpt,I,3.1181490,24,8,raw/ogle/OGLE-LMC-CEP-0002.dat,e793fbe2bca3f68121cec05e31e1af26866dcc8f6f52ed8cb5b8809ab68ae063,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0002.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0003,CEP-1O,Classical Cepheid,1O,OGLE mirror engineering excerpt,I,0.3500957,24,8,raw/ogle/OGLE-LMC-CEP-0003.dat,45b86328fe30b498fcb96eeb62d0844ca2561f70a9da78de364e7a362d8683d5,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0003.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0004,CEP-1O,Classical Cepheid,1O,OGLE mirror engineering excerpt,I,2.2296385,24,8,raw/ogle/OGLE-LMC-CEP-0004.dat,90288a5f96940f59d9bddbede8c2b683a72b07ed0f6dcdc92571f501ad4a04c7,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0004.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0005,CEP-F,Classical Cepheid,F,OGLE mirror engineering excerpt,I,5.6119491,24,8,raw/ogle/OGLE-LMC-CEP-0005.dat,450368e130f5aa0d1823d415b3041463e65f8eaf10e6d90ff72d14c4f9621ed7,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0005.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0006,CEP-1O,Classical Cepheid,1O,OGLE mirror engineering excerpt,I,3.2947501,24,8,raw/ogle/OGLE-LMC-CEP-0006.dat,4afcf12f90c25b367b86a81de44c5901967d738af7ec283abdae005404ab4878,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0006.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0007,CEP-1O,Classical Cepheid,1O,OGLE mirror engineering excerpt,I,0.7090827,24,8,raw/ogle/OGLE-LMC-CEP-0007.dat,8851b3c1b637300484849de12ced3a8c7d959827b97e982168c5a76dfe4bbb5c,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0007.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0009,CEP-1O,Classical Cepheid,1O,OGLE mirror engineering excerpt,I,2.0243667,24,8,raw/ogle/OGLE-LMC-CEP-0009.dat,256b9dad787c2e7c38abf0baa272dc73063ed7aa422212e468a6a96015396b9b,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0009.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0010,CEP-1O,Classical Cepheid,1O,OGLE mirror engineering excerpt,I,2.5655853,24,8,raw/ogle/OGLE-LMC-CEP-0010.dat,8b2e368df3a3de9beb178268cbe53020a827202ee54acf599cbb41a83ff88752,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0010.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0012,CEP-F,Classical Cepheid,F,OGLE mirror engineering excerpt,I,2.6601839,24,8,raw/ogle/OGLE-LMC-CEP-0012.dat,a5d5065333cbfc177a2cd67c22bfbcd1dadfc003ef02b5a76b49c03d2962dcbc,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0012.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0013,CEP-1O,Classical Cepheid,1O,OGLE mirror engineering excerpt,I,1.5985688,24,8,raw/ogle/OGLE-LMC-CEP-0013.dat,31ca97c5f2fda2ddd864779f11e1d5c9169b07150db42b58b3a6317e237e8820,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0013.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0014,CEP-1O,Classical Cepheid,1O,OGLE mirror engineering excerpt,I,3.1356338,24,8,raw/ogle/OGLE-LMC-CEP-0014.dat,d9b39ac7f05fddb8d51109d6f926ea8b0c7bbcd9a21da1b34121e092970707c3,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0014.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0015,CEP-1O,Classical Cepheid,1O,OGLE mirror engineering excerpt,I,1.6556995,24,8,raw/ogle/OGLE-LMC-CEP-0015.dat,7f60236698093bd5226e4b18db58fec5d0d9fa2584187bd7623a1a813e6b670b,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0015.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0017,CEP-F,Classical Cepheid,F,OGLE mirror engineering excerpt,I,3.6772904,24,8,raw/ogle/OGLE-LMC-CEP-0017.dat,dc5cca6466dd5cf2fc0aa2d470389b28786ec4bcc0919b5c3b53e8da833ae273,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0017.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0018,CEP-F,Classical Cepheid,F,OGLE mirror engineering excerpt,I,4.0478369,24,8,raw/ogle/OGLE-LMC-CEP-0018.dat,aa00b8e81cd677a531afbf5f2b21b434c2be621defc0aa5f757ed395d4a42d3c,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0018.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0021,CEP-F,Classical Cepheid,F,OGLE mirror engineering excerpt,I,5.4579579,24,8,raw/ogle/OGLE-LMC-CEP-0021.dat,978f768f733ad6665b51d7964992b7291e3d010646c69a3ede2279e306bc9174,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0021.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0023,CEP-F,Classical Cepheid,F,OGLE mirror engineering excerpt,I,1.7018187,24,8,raw/ogle/OGLE-LMC-CEP-0023.dat,d3629879698b47eee0b448085b909582972128cf4d7bf051300a77e3f4efe728,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0023.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0025,CEP-F,Classical Cepheid,F,OGLE mirror engineering excerpt,I,3.7334902,24,8,raw/ogle/OGLE-LMC-CEP-0025.dat,aa05f391082a9ec0545562f374f2b5a9f45d198fb3c3e99a2dc93ec2285ce515,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0025.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0026,CEP-F,Classical Cepheid,F,OGLE mirror engineering excerpt,I,2.5706724,24,8,raw/ogle/OGLE-LMC-CEP-0026.dat,cbfb505a8ba72cca95b51f0fe5c6f6d1689b74b9f9614a05200ce8ff12143ffb,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0026.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
OGLE-LMC-CEP-0027,CEP-F,Classical Cepheid,F,OGLE mirror engineering excerpt,I,3.5229124,24,8,raw/ogle/OGLE-LMC-CEP-0027.dat,2f837845043a0d8dbab4a3616ed38c27166a5e57af7a42278ecdf5ad64b1d253,bksim/OutlierDetection,bksim/OutlierDetection@55836b58345b9507bfbd98c5fabbac82c83605e3:raw/ogle/OGLE-LMC-CEP-0027.dat,engineering mirror only; official source acknowledgement and rights review required,external catalog mode and period; no DERD-derived assignment
