star_id,first_exposed_phase,eligibility
OGLE-LMC-CEP-0001,Phase 02,development_only
OGLE-LMC-CEP-0002,Phase 02,development_only
OGLE-LMC-CEP-0003,Phase 02,development_only
OGLE-LMC-CEP-0004,Phase 02,development_only
OGLE-LMC-CEP-0005,Phase 02,development_only
OGLE-LMC-CEP-0006,Phase 02,development_only
OGLE-LMC-CEP-0007,Phase 02,development_only
OGLE-LMC-CEP-0009,Phase 02,development_only
OGLE-LMC-CEP-0010,Phase 02,development_only
OGLE-LMC-CEP-0012,Phase 02,development_only
OGLE-LMC-CEP-0013,Phase 02,development_only
OGLE-LMC-CEP-0014,Phase 02,development_only
OGLE-LMC-CEP-0015,Phase 02,development_only
OGLE-LMC-CEP-0017,Phase 02,development_only
OGLE-LMC-CEP-0018,Phase 02,development_only
OGLE-LMC-CEP-0021,Phase 02,development_only
OGLE-LMC-CEP-0023,Phase 02,development_only
OGLE-LMC-CEP-0025,Phase 02,development_only
OGLE-LMC-CEP-0026,Phase 02,development_only
OGLE-LMC-CEP-0027,Phase 02,development_only
